,CreditScore,FirstTimeHomebuyer,MSA,MIP,DTI,OrigUPB,LTV,OrigInterestRate,NumBorrowers,MonthsInRepayment,FirstPayment_Year,Maturity_Year,LTV_range,Repay_range,Credit_range
62,670.5336708,0,31084,0,19,169000,64,7.125,2,44,1999,2029,High,1,Good
63,670.5336708,0,31084,0,38,101000,78,7.125,2,43,1999,2029,High,1,Good
64,670.5336708,0,31084,0,32,152000,80,6.625,1,211,1999,2029,High,5,Good
65,670.5336708,0,31084,30,28,50000,91,7.5,1,60,1999,2029,High,2,Good
66,670.5336708,0,31084,30,12,141000,95,6.75,2,54,1999,2029,High,2,Good
67,670.5336708,0,31340,0,39,47000,73,6.5,1,83,1999,2029,High,2,Good
68,670.5336708,0,33124,0,24,90000,53,6.75,1,95,1999,2029,High,2,Good
69,670.5336708,0,33124,0,6,126000,70,8.125,1,29,1999,2029,High,1,Good
70,670.5336708,0,33124,30,24,128000,95,7.75,1,45,1999,2029,High,1,Good
71,670.5336708,0,33124,30,31,133000,95,7.625,1,13,1999,2029,High,1,Good
72,670.5336708,0,33124,30,31,135000,95,6.875,1,29,1999,2029,High,1,Good
73,670.5336708,0,33340,0,37,111000,69,7.15,1,44,1999,2029,High,1,Good
74,670.5336708,0,33340,0,14,115000,75,6.875,1,6,1999,2029,High,1,Good
75,670.5336708,0,33460,25,36,115000,90,6.75,1,48,1999,2029,High,2,Good
76,670.5336708,0,33460,25,43,56000,90,7.25,2,50,1999,2029,High,2,Good
77,670.5336708,0,34820,25,22,144000,90,6.875,2,62,1999,2029,High,2,Good
78,670.5336708,0,35004,0,31,146000,80,7.375,2,48,1999,2029,High,2,Good
79,670.5336708,0,35004,25,42,212000,90,7.25,2,60,1999,2029,High,2,Good
80,670.5336708,0,35084,0,34,176000,72,6.875,2,14,1999,2029,High,1,Good
81,670.5336708,0,35084,0,31,200000,76,6.75,2,44,1999,2029,High,1,Good
82,670.5336708,0,35084,0,31,214000,79,6.875,2,14,1999,2029,High,1,Good
83,670.5336708,0,35380,0,33,190000,80,6.5,1,54,1999,2029,High,2,Good
84,670.5336708,0,35644,0,35,111000,60,6.25,2,67,1999,2029,High,2,Good
85,670.5336708,0,35644,25,38,212000,90,6.75,1,37,1999,2029,High,1,Good
86,670.5336708,0,37100,0,39,227000,70,6.375,2,52,1999,2029,High,2,Good
87,670.5336708,0,38060,0,21,99000,32,7.25,2,15,1999,2029,Medium,1,Good
88,670.5336708,0,38060,0,11,83000,75,7.75,1,53,1999,2029,High,2,Good
89,670.5336708,0,38060,30,34,49000,95,6.75,1,211,1999,2029,High,5,Good
90,670.5336708,0,38300,0,19,29000,54,7.25,1,111,1999,2029,High,3,Good
91,670.5336708,0,38900,0,25,124000,74,6.75,2,52,1999,2029,High,2,Good
92,670.5336708,0,38900,30,27,132000,95,6.625,1,51,1999,2029,High,2,Good
93,670.5336708,0,38900,30,39,122000,95,6.625,2,46,1999,2029,High,1,Good
94,670.5336708,0,39300,0,15,150000,52,7,1,55,1999,2029,High,2,Good
95,670.5336708,0,39300,0,39,300000,80,6.875,1,39,1999,2029,High,1,Good
96,670.5336708,0,39340,0,28,95000,78,6.75,1,47,1999,2029,High,1,Good
97,670.5336708,0,39820,25,35,149000,90,6.625,2,55,1999,2029,High,2,Good
98,670.5336708,0,40060,0,28,80000,70,6.5,1,212,1999,2029,High,5,Good
99,670.5336708,0,40140,0,11,35000,54,6.875,1,17,1999,2029,High,1,Good
100,670.5336708,0,40140,25,34,162000,90,6.5,1,75,1999,2029,High,2,Good
101,670.5336708,0,40140,30,29,226000,95,7,2,28,1999,2029,High,1,Good
102,670.5336708,0,40900,12,41,212000,84,6.75,1,62,1999,2029,High,2,Good
103,670.5336708,0,40900,25,28,51000,90,8.75,2,29,1999,2029,High,1,Good
104,670.5336708,0,41180,25,35,77000,90,7,1,58,1999,2029,High,2,Good
105,670.5336708,0,41620,30,32,110000,95,7.125,2,83,1999,2029,High,2,Good
106,670.5336708,0,41700,25,45,82000,90,6.5,1,27,1999,2029,High,1,Good
107,670.5336708,0,41740,0,14,240000,60,6.5,2,62,1999,2029,High,2,Good
108,670.5336708,0,41740,0,18,112000,78,6.75,1,10,1999,2029,High,1,Good
109,670.5336708,0,41884,30,41,219000,95,7,1,31,1999,2029,High,1,Good
110,670.5336708,0,42044,0,37,236000,68,7.625,1,45,1999,2029,High,1,Good
111,670.5336708,0,42044,0,20,67000,36,6.75,1,91,1999,2029,Medium,2,Good
112,670.5336708,0,42044,0,20,195000,55,6.75,2,133,1999,2029,High,3,Good
113,670.5336708,0,42220,30,28,137000,95,7,2,37,1999,2029,High,1,Good
114,670.5336708,0,42220,30,28,164000,96,6.875,2,40,1999,2029,High,1,Good
115,670.5336708,0,42644,0,45,115000,75,6.5,1,165,1999,2029,High,4,Good
